Vdc(V),ne(cm-2)
0.0005,0
0.0004966555183946489,-15321710369.69234
0.0004933110367892977,-30643420739.38468
0.0004899665551839465,-45965131109.07703
0.0004866220735785953,-61286841478.76936
0.0004832775919732441,-76608551848.4617
0.000479933110367893,-91930262218.15405
0.0004765886287625418,-107251972587.8464
0.0004732441471571907,-122573682957.5387
0.0004698996655518395,-137895393327.2311
0.0004665551839464883,-153217103696.9234
0.0004632107023411371,-168538814066.6158
0.000459866220735786,-183860524436.3081
0.0004565217391304348,-199182234806.0004
0.0004531772575250836,-214503945175.6928
0.0004498327759197324,-229825655545.3851
0.0004464882943143813,-245147365915.0775
0.0004431438127090301,-260469076284.7698
0.0004397993311036789,-275790786654.4622
0.0004364548494983278,-291112497024.1545
0.0004331103678929766,-306434207393.8468
0.0004297658862876255,-321755917763.5392
0.0004264214046822743,-337077628133.2315
0.0004230769230769231,-352399338502.9238
0.0004197324414715719,-367721048872.6162
0.0004163879598662207,-383042759242.3085
0.0004130434782608696,-398364469612.0009
0.0004096989966555184,-413686179981.6932
0.0004063545150501672,-429007890351.3856
0.0004030100334448161,-444329600721.0779
0.0003996655518394649,-459651311090.7702
0.0003963210702341137,-474973021460.4626
0.0003929765886287626,-490294731830.1549
0.0003896321070234114,-505616442199.8472
0.0003862876254180602,-520938152569.5396
0.000382943143812709,-536259862939.2319
0.0003795986622073579,-551581573308.9243
0.0003762541806020067,-566903283678.6166
0.0003729096989966555,-582224994048.309
0.0003695652173913044,-597546704418.0013
0.0003662207357859532,-612868414787.6936
0.000362876254180602,-628190125157.386
0.0003595317725752509,-643511835527.0784
0.0003561872909698996,-658833545896.7706
0.0003528428093645485,-674155256266.463
0.0003494983277591973,-689476966636.1554
0.0003461538461538462,-704798677005.8477
0.000342809364548495,-720120387375.54
0.0003394648829431438,-735442097745.2324
0.0003361204013377926,-750763808114.9247
0.0003327759197324415,-766085518484.6171
0.0003294314381270903,-781407228854.3093
0.0003260869565217392,-796728939224.0017
0.000322742474916388,-812050649593.6941
0.0003193979933110368,-827372359963.3864
0.0003160535117056856,-842694070333.0787
0.0003127090301003344,-858015780702.7711
0.0003093645484949833,-873337491072.4634
0.0003060200668896321,-888659201442.1558
0.000302675585284281,-903980911811.8481
0.0002993311036789298,-919302622181.5404
0.0002959866220735786,-934624332551.2328
0.0002926421404682274,-949946042920.9252
0.0002892976588628762,-965267753290.6174
0.0002859531772575251,-980589463660.3098
0.0002826086956521739,-995911174030.0022
0.0002792642140468228,-1011232884399.694
0.0002759197324414716,-1026554594769.387
0.0002725752508361204,-1041876305139.079
0.0002692307692307692,-1057198015508.771
0.0002658862876254181,-1072519725878.464
0.0002625418060200669,-1087841436248.156
0.0002591973244147158,-1103163146617.849
0.0002558528428093646,-1118484856987.541
0.0002525083612040134,-1133806567357.233
0.0002491638795986622,-1149128277726.926
0.000245819397993311,-1164449988096.618
0.0002424749163879599,-1179771698466.31
0.0002391304347826087,-1195093408836.003
0.0002357859531772575,-1210415119205.695
0.0002324414715719064,-1225736829575.387
0.0002290969899665552,-1241058539945.08
0.000225752508361204,-1256380250314.772
0.0002224080267558529,-1271701960684.464
0.0002190635451505017,-1287023671054.157
0.0002157190635451505,-1302345381423.849
0.0002123745819397993,-1317667091793.541
0.0002090301003344482,-1332988802163.234
0.000205685618729097,-1348310512532.926
0.0002023411371237458,-1363632222902.618
0.0001989966555183947,-1378953933272.311
0.0001956521739130435,-1394275643642.003
0.0001923076923076923,-1409597354011.695
0.0001889632107023412,-1424919064381.388
0.00018561872909699,-1440240774751.08
0.0001822742474916388,-1455562485120.772
0.0001789297658862876,-1470884195490.465
0.0001755852842809365,-1486205905860.157
0.0001722408026755853,-1501527616229.849
0.0001688963210702341,-1516849326599.542
0.000165551839464883,-1532171036969.234
0.0001622073578595318,-1547492747338.927
0.0001588628762541806,-1562814457708.619
0.0001555183946488295,-1578136168078.311
0.0001521739130434783,-1593457878448.003
0.0001488294314381271,-1608779588817.696
0.0001454849498327759,-1624101299187.388
0.0001421404682274248,-1639423009557.081
0.0001387959866220736,-1654744719926.773
0.0001354515050167224,-1670066430296.465
0.0001321070234113713,-1685388140666.157
0.0001287625418060201,-1700709851035.85
0.0001254180602006689,-1716031561405.542
0.0001220735785953178,-1731353271775.235
0.0001187290969899665,-1746674982144.927
0.0001153846153846154,-1761996692514.619
0.0001120401337792642,-1777318402884.312
0.000108695652173913,-1792640113254.004
0.0001053511705685619,-1807961823623.696
0.0001020066889632107,-1823283533993.389
9.866220735785952e-05,-1838605244363.081
9.531772575250837e-05,-1853926954732.773
9.197324414715721e-05,-1869248665102.466
8.862876254180606e-05,-1884570375472.158
8.528428093645485e-05,-1899892085841.85
8.19397993311037e-05,-1915213796211.543
7.859531772575254e-05,-1930535506581.235
7.525083612040134e-05,-1945857216950.927
7.190635451505018e-05,-1961178927320.62
6.856187290969903e-05,-1976500637690.312
6.521739130434782e-05,-1991822348060.004
6.187290969899667e-05,-2007144058429.697
5.852842809364551e-05,-2022465768799.389
5.518394648829431e-05,-2037787479169.081
5.183946488294315e-05,-2053109189538.774
4.8494983277592e-05,-2068430899908.466
4.515050167224084e-05,-2083752610278.158
4.180602006688964e-05,-2099074320647.851
3.846153846153848e-05,-2114396031017.543
3.511705685618733e-05,-2129717741387.235
3.177257525083612e-05,-2145039451756.928
2.842809364548497e-05,-2160361162126.62
2.508361204013381e-05,-2175682872496.312
2.173913043478261e-05,-2191004582866.005
1.839464882943145e-05,-2206326293235.697
1.50501672240803e-05,-2221648003605.39
1.170568561872909e-05,-2236969713975.082
8.361204013377938e-06,-2252291424344.774
5.016722408026785e-06,-2267613134714.466
1.672240802675631e-06,-2282934845084.159
-1.672240802675523e-06,-2298256555453.851
-5.016722408026785e-06,-2313578265823.543
-8.361204013377938e-06,-2328899976193.236
-1.170568561872909e-05,-2344221686562.928
-1.505016722408025e-05,-2359543396932.621
-1.83946488294314e-05,-2374865107302.313
-2.173913043478255e-05,-2390186817672.005
-2.508361204013381e-05,-2405508528041.698
-2.842809364548497e-05,-2420830238411.39
-3.177257525083612e-05,-2436151948781.082
-3.511705685618728e-05,-2451473659150.774
-3.846153846153843e-05,-2466795369520.467
-4.180602006688958e-05,-2482117079890.159
-4.515050167224074e-05,-2497438790259.852
-4.8494983277592e-05,-2512760500629.544
-5.183946488294315e-05,-2528082210999.236
-5.518394648829431e-05,-2543403921368.929
-5.852842809364546e-05,-2558725631738.621
-6.187290969899661e-05,-2574047342108.313
-6.521739130434777e-05,-2589369052478.005
-6.856187290969903e-05,-2604690762847.698
-7.190635451505018e-05,-2620012473217.39
-7.525083612040134e-05,-2635334183587.083
-7.859531772575249e-05,-2650655893956.775
-8.193979933110364e-05,-2665977604326.467
-8.52842809364548e-05,-2681299314696.16
-8.862876254180606e-05,-2696621025065.852
-9.197324414715721e-05,-2711942735435.544
-9.531772575250837e-05,-2727264445805.237
-9.866220735785952e-05,-2742586156174.929
-0.0001020066889632107,-2757907866544.622
-0.0001053511705685618,-2773229576914.313
-0.000108695652173913,-2788551287284.006
-0.0001120401337792642,-2803872997653.698
-0.0001153846153846154,-2819194708023.391
-0.0001187290969899665,-2834516418393.083
-0.0001220735785953177,-2849838128762.775
-0.0001254180602006689,-2865159839132.468
-0.00012876254180602,-2880481549502.16
-0.0001321070234113713,-2895803259871.853
-0.0001354515050167224,-2911124970241.545
-0.0001387959866220736,-2926446680611.237
-0.0001421404682274247,-2941768390980.93
-0.0001454849498327759,-2957090101350.622
-0.000148829431438127,-2972411811720.314
-0.0001521739130434782,-2987733522090.006
-0.0001555183946488295,-3003055232459.699
-0.0001588628762541806,-3018376942829.391
-0.0001622073578595318,-3033698653199.083
-0.0001655518394648829,-3049020363568.776
-0.0001688963210702341,
-0.0001722408026755852,
-0.0001755852842809365,
-0.0001789297658862876,
-0.0001822742474916388,
-0.0001856187290969899,
-0.0001889632107023411,
-0.0001923076923076923,
-0.0001956521739130434,
-0.0001989966555183947,
-0.0002023411371237458,
-0.000205685618729097,
-0.0002090301003344481,
-0.0002123745819397993,
-0.0002157190635451504,
-0.0002190635451505017,
-0.0002224080267558529,
-0.000225752508361204,
-0.0002290969899665552,
-0.0002324414715719063,
-0.0002357859531772575,
-0.0002391304347826087,
-0.0002424749163879599,
-0.000245819397993311,
-0.0002491638795986622,
-0.0002525083612040133,
-0.0002558528428093645,
-0.0002591973244147157,
-0.0002625418060200669,
-0.0002658862876254181,
-0.0002692307692307692,
-0.0002725752508361204,
-0.0002759197324414715,
-0.0002792642140468227,
-0.0002826086956521739,
-0.0002859531772575251,
-0.0002892976588628762,
-0.0002926421404682274,
-0.0002959866220735786,
-0.0002993311036789297,
-0.000302675585284281,
-0.0003060200668896321,
-0.0003093645484949833,
-0.0003127090301003344,
-0.0003160535117056856,
-0.0003193979933110367,
-0.0003227424749163879,
-0.0003260869565217392,
-0.0003294314381270903,
-0.0003327759197324415,
-0.0003361204013377926,
-0.0003394648829431438,
-0.0003428093645484949,
-0.0003461538461538462,
-0.0003494983277591973,
-0.0003528428093645485,
-0.0003561872909698996,
-0.0003595317725752508,
-0.000362876254180602,
-0.0003662207357859531,
-0.0003695652173913044,
-0.0003729096989966555,
-0.0003762541806020067,
-0.0003795986622073578,
-0.000382943143812709,
-0.0003862876254180601,
-0.0003896321070234114,
-0.0003929765886287626,
-0.0003963210702341137,
-0.0003996655518394649,
-0.000403010033444816,
-0.0004063545150501672,
-0.0004096989966555183,
-0.0004130434782608696,
-0.0004163879598662207,
-0.0004197324414715719,
-0.000423076923076923,
-0.0004264214046822742,
-0.0004297658862876254,
-0.0004331103678929766,
-0.0004364548494983278,
-0.0004397993311036789,
-0.0004431438127090301,
-0.0004464882943143812,
-0.0004498327759197324,
-0.0004531772575250836,
-0.0004565217391304348,
-0.000459866220735786,
-0.0004632107023411371,
-0.0004665551839464883,
-0.0004698996655518394,
-0.0004732441471571906,
-0.0004765886287625418,
-0.0004799331103678929,
-0.0004832775919732441,
-0.0004866220735785954,
-0.0004899665551839464,
-0.0004933110367892977,
-0.0004966555183946487,
-0.0005,
